                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.84921,                0.72219,                 1.0316,                0.90986,                0.81565,                0.89044,                0.73792,                0.72527,                0.52654,                0.92328,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                0.84135,                0.70573,                 1.0431,                0.92202,                0.80852,                0.89012,                0.73955,                0.72293,                0.52326,                0.92228,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                0.85184,                0.68076,                 1.0351,                0.91283,                0.81231,                0.89011,                0.73891,                0.71893,                0.52119,                0.92091,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                0.86009,                0.69245,                 1.0174,                0.91276,                0.81193,                0.89036,                0.73797,                 0.7177,                0.51841,                0.91954,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                0.84772,                0.70416,                 1.0326,                0.90888,                0.81616,                0.89286,                0.73792,                0.71786,                0.51757,                0.91968,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                0.83328,                0.69341,                 1.0251,                0.91184,                0.81536,                0.89235,                 0.7408,                0.71725,                0.51813,                0.91961,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     81,                0.85412,                0.69709,                 1.0344,                0.92129,                0.81171,                0.89377,                0.74092,                0.71689,                0.51879,                0.91879,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                0.83954,                0.69165,                 1.0254,                0.92482,                0.81264,                0.89473,                0.74202,                0.71699,                0.51845,                0.91853,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     83,                0.84396,                0.69445,                 1.0289,                 0.9262,                0.81101,                0.89442,                0.74257,                 0.7157,                0.51738,                0.91821,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     84,                0.83001,                0.67806,                 1.0244,                0.91989,                0.81531,                 0.8949,                0.74302,                 0.7136,                0.51671,                0.91795,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     85,                0.82833,                0.70609,                 1.0272,                0.92187,                0.81371,                0.89413,                0.74604,                0.71204,                0.51778,                0.91723,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     86,                0.83351,                0.68725,                 1.0318,                0.92579,                0.81296,                0.89246,                 0.7464,                0.71074,                0.51695,                0.91695,              2.004e-05,              2.004e-05,              2.004e-05
                     87,                 0.8047,                0.68155,                 1.0228,                0.92657,                 0.8118,                0.89305,                0.74406,                0.70919,                0.51603,                0.91618,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     88,                0.84072,                0.68952,                 1.0416,                0.92864,                0.81306,                0.89297,                0.74457,                0.70773,                0.51579,                0.91559,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     89,                0.82723,                0.67772,                 1.0082,                 0.9273,                0.81304,                0.89381,                0.74729,                0.70609,                0.51354,                 0.9149,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     90,                0.87589,                 0.7079,                 1.0311,                0.93303,                0.81148,                0.89333,                 0.7459,                0.70425,                 0.5116,                0.91454,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     91,                0.89571,                0.76002,                  1.038,                0.93049,                 0.8085,                0.89571,                 0.7447,                0.70832,                0.51819,                0.91411,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     92,                0.88394,                 0.7816,                 1.0008,                0.92553,                0.80413,                0.89447,                0.73892,                0.71732,                0.52555,                0.91634,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     93,                0.86821,                0.74677,                 1.0185,                0.86095,                0.83253,                0.88514,                0.73428,                0.72369,                0.53403,                0.91824,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     94,                 0.8438,                0.71019,                 1.0139,                0.91108,                0.79802,                0.88462,                0.73243,                 0.7287,                 0.5375,                 0.9204,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     95,                0.85449,                0.73766,                 1.0034,                0.90791,                0.79607,                0.88118,                0.72882,                0.73419,                0.54142,                0.92231,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     96,                0.82026,                0.66804,                 1.0016,                  0.916,                0.79092,                0.88269,                0.72943,                0.73442,                0.54163,                 0.9227,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     97,                 0.8061,                0.64982,                 1.0004,                0.91542,                0.79127,                0.88334,                0.72942,                0.73627,                 0.5419,                0.92356,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     98,                0.83485,                0.70028,                 1.0039,                0.90841,                0.79036,                0.88135,                0.72713,                 0.7388,                0.54321,                0.92421,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     99,                0.84414,                0.67646,                 1.0202,                0.90659,                  0.789,                0.88157,                0.72551,                0.74173,                 0.5437,                0.92519,             4.7243e-06,             4.7243e-06,             4.7243e-06
                    100,                0.83823,                0.72518,                 1.0147,                0.90453,                0.79073,                0.88058,                0.72561,                0.74613,                0.54748,                0.92688,             3.5462e-06,             3.5462e-06,             3.5462e-06
