                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.1271,                 1.5849,                 0.8095,                 1.0114,                 0.6861,                0.56295,                0.60099,                0.37531,                 0.6662,                 0.5188,                0.55463,                0.29225,                 1.0987,                 1.5509,                0.87885,                  1.036,             0.00072182,             0.00072182,             0.00072182
                     54,                 1.1179,                 1.5781,                 0.8071,                 1.0073,                0.68777,                0.55919,                0.60187,                 0.3775,                0.65365,                0.51829,                0.55845,                0.29688,                 1.0969,                 1.5408,                 0.8388,                 1.0342,             0.00071822,             0.00071822,             0.00071822
                     55,                 1.1165,                 1.5738,                0.80054,                 1.0052,                0.69687,                 0.5557,                0.60392,                 0.3796,                0.65032,                0.52105,                0.55787,                0.29478,                 1.0858,                  1.537,                0.83669,                 1.0322,             0.00071462,             0.00071462,             0.00071462
                     56,                 1.1059,                 1.5564,                0.79219,                 1.0025,                0.70034,                0.55664,                0.60483,                0.37937,                0.66864,                0.52168,                0.56394,                0.29588,                 1.0905,                 1.5349,                0.83157,                 1.0338,             0.00071102,             0.00071102,             0.00071102
                     57,                 1.1064,                 1.5605,                 0.7884,                      1,                 0.6963,                0.56244,                0.60741,                 0.3816,                0.64828,                0.52451,                0.56286,                0.29595,                 1.0865,                 1.5247,                0.82222,                 1.0294,             0.00070742,             0.00070742,             0.00070742
                     58,                 1.0999,                 1.5466,                 0.7827,                0.99869,                0.69774,                0.56144,                0.60701,                0.38122,                0.67343,                 0.5204,                0.56475,                0.29713,                  1.082,                 1.5212,                  0.823,                 1.0291,             0.00070382,             0.00070382,             0.00070382
                     59,                 1.0941,                 1.5446,                0.78016,                0.99767,                0.68815,                0.56332,                 0.6059,                0.38141,                0.65639,                 0.5232,                0.56036,                0.29713,                  1.084,                 1.5202,                0.84726,                 1.0319,             0.00070022,             0.00070022,             0.00070022
                     60,                  1.096,                 1.5331,                0.77564,                0.99425,                0.69221,                0.56032,                0.60578,                0.38016,                 0.6676,                0.51795,                0.56212,                0.29792,                 1.0822,                  1.519,                0.82443,                   1.03,             0.00069662,             0.00069662,             0.00069662
                     61,                 1.0985,                 1.5424,                0.78299,                0.99568,                0.68881,                0.56063,                0.60896,                0.38193,                0.65362,                0.52161,                0.56091,                0.29443,                 1.0838,                 1.5201,                0.82552,                 1.0265,             0.00069302,             0.00069302,             0.00069302
                     62,                 1.0951,                 1.5326,                0.77118,                0.99316,                0.69227,                0.56534,                0.61076,                0.38367,                 0.6734,                0.52462,                0.56868,                 0.3004,                 1.0849,                 1.5159,                0.83394,                  1.028,             0.00068942,             0.00068942,             0.00068942
                     63,                 1.0958,                 1.5307,                0.76837,                 0.9911,                0.69827,                0.56734,                0.61546,                0.38708,                0.65909,                 0.5294,                0.56984,                0.30106,                 1.0767,                 1.5105,                0.81785,                 1.0262,             0.00068582,             0.00068582,             0.00068582
                     64,                 1.0867,                 1.5173,                0.76291,                0.99135,                0.70363,                0.56229,                0.61224,                0.38623,                0.67063,                0.52293,                0.56722,                0.30068,                 1.0757,                 1.5077,                0.81312,                 1.0258,             0.00068222,             0.00068222,             0.00068222
                     65,                 1.0752,                 1.5069,                0.75139,                0.98587,                0.68908,                0.57365,                0.61066,                0.38523,                0.66042,                0.52934,                0.56647,                0.29993,                 1.0794,                 1.5105,                0.82862,                 1.0255,             0.00067862,             0.00067862,             0.00067862
                     66,                 1.0782,                 1.5105,                0.75304,                0.98735,                0.69342,                 0.5703,                0.61306,                0.38745,                0.66187,                0.52723,                0.56662,                0.29987,                 1.0742,                 1.5034,                0.81991,                 1.0258,             0.00067502,             0.00067502,             0.00067502
                     67,                  1.077,                 1.5166,                0.75515,                0.98439,                0.69934,                0.56957,                0.61355,                0.38709,                0.65452,                0.53012,                0.56919,                0.29999,                 1.0723,                 1.5081,                0.82043,                 1.0232,             0.00067142,             0.00067142,             0.00067142
                     68,                 1.0721,                 1.5025,                0.75354,                0.98636,                0.70678,                0.56837,                 0.6138,                0.38716,                0.66941,                 0.5289,                0.56998,                0.30121,                 1.0766,                 1.5048,                0.82749,                 1.0248,             0.00066782,             0.00066782,             0.00066782
                     69,                   1.07,                 1.4931,                0.75133,                0.98143,                0.69386,                0.57498,                0.61452,                0.38955,                0.65868,                0.53761,                0.57132,                0.30434,                 1.0704,                 1.4953,                0.82615,                 1.0218,             0.00066422,             0.00066422,             0.00066422
                     70,                 1.0702,                 1.4976,                0.74304,                0.98031,                0.71228,                0.56848,                0.61469,                 0.3887,                0.67969,                 0.5311,                0.57139,                0.30345,                 1.0718,                 1.4926,                0.81472,                 1.0244,             0.00066062,             0.00066062,             0.00066062
                     71,                 1.0674,                 1.4854,                0.74013,                0.97901,                0.68234,                0.57574,                 0.6128,                0.38678,                0.65291,                0.53321,                0.56744,                0.29825,                 1.0707,                 1.4941,                0.81669,                 1.0232,             0.00065703,             0.00065703,             0.00065703
                     72,                 1.0661,                 1.4901,                0.73858,                0.97978,                0.71092,                0.57057,                0.61477,                0.38757,                0.65307,                0.53248,                0.56522,                0.30089,                 1.0722,                 1.4991,                0.80928,                 1.0255,             0.00065343,             0.00065343,             0.00065343
                     73,                 1.0598,                 1.4829,                0.73083,                0.97679,                0.69826,                0.57605,                0.61736,                0.39144,                0.65788,                 0.5354,                0.57158,                0.30367,                 1.0674,                 1.4926,                0.81719,                 1.0208,             0.00064983,             0.00064983,             0.00064983
                     74,                 1.0578,                  1.476,                0.73047,                0.97559,                0.70793,                0.57351,                0.61889,                0.39212,                0.66726,                0.53221,                0.57302,                0.30425,                 1.0711,                 1.4927,                0.81447,                 1.0229,             0.00064623,             0.00064623,             0.00064623
                     75,                 1.0537,                 1.4621,                0.72614,                0.97349,                0.70103,                0.57817,                0.62057,                0.39228,                0.66242,                0.52868,                  0.571,                0.30299,                 1.0669,                 1.4976,                0.80982,                  1.022,             0.00064263,             0.00064263,             0.00064263
                     76,                 1.0537,                 1.4652,                0.72139,                0.97261,                0.69289,                  0.584,                0.62178,                0.39328,                0.64884,                0.54367,                0.57504,                0.30708,                 1.0648,                 1.4821,                0.80312,                 1.0206,             0.00063903,             0.00063903,             0.00063903
                     77,                 1.0482,                 1.4542,                0.72385,                 0.9717,                0.69043,                0.59218,                0.62341,                0.39478,                0.66097,                0.54605,                0.57941,                0.30928,                 1.0638,                 1.4843,                0.80782,                 1.0195,             0.00063543,             0.00063543,             0.00063543
                     78,                 1.0456,                 1.4561,                0.71399,                 0.9687,                0.72485,                0.57659,                0.62334,                0.39421,                0.67974,                0.53585,                0.57567,                0.30513,                 1.0623,                 1.4867,                0.80127,                 1.0204,             0.00063183,             0.00063183,             0.00063183
                     79,                 1.0449,                 1.4536,                0.71279,                0.97118,                0.71368,                0.57746,                0.62064,                0.39412,                0.67522,                 0.5347,                0.57386,                0.30547,                 1.0626,                 1.4823,                0.80979,                 1.0193,             0.00062823,             0.00062823,             0.00062823
                     80,                  1.039,                  1.446,                0.70852,                0.96547,                0.72085,                0.57296,                0.62038,                0.39402,                0.69314,                0.53664,                0.57714,                0.30653,                 1.0602,                 1.4815,                0.80374,                  1.019,             0.00062463,             0.00062463,             0.00062463
                     81,                  1.038,                 1.4459,                0.71041,                0.96796,                0.71029,                0.57542,                0.62154,                0.39354,                0.67127,                0.53874,                0.57639,                0.30763,                 1.0595,                 1.4829,                0.80369,                 1.0193,             0.00062103,             0.00062103,             0.00062103
                     82,                 1.0402,                 1.4431,                 0.7054,                0.96428,                0.71488,                0.58374,                0.62604,                0.39706,                0.67717,                0.54042,                0.57774,                 0.3087,                 1.0569,                 1.4803,                0.80069,                 1.0144,             0.00061743,             0.00061743,             0.00061743
                     83,                 1.0364,                 1.4378,                0.70361,                0.96593,                0.71552,                0.57585,                0.61951,                0.39387,                0.67426,                0.53839,                0.57425,                 0.3053,                 1.0608,                 1.4843,                0.80814,                 1.0182,             0.00061383,             0.00061383,             0.00061383
                     84,                  1.033,                 1.4308,                0.69974,                0.96246,                0.69115,                0.58696,                0.62354,                0.39505,                0.66835,                0.54004,                0.58068,                0.31041,                  1.059,                 1.4715,                0.79802,                 1.0184,             0.00061023,             0.00061023,             0.00061023
                     85,                 1.0311,                 1.4345,                0.69732,                0.96139,                0.69784,                0.58202,                0.61908,                0.39422,                0.66361,                0.54147,                0.57587,                0.30716,                 1.0608,                 1.4777,                0.81022,                 1.0204,             0.00060663,             0.00060663,             0.00060663
                     86,                 1.0277,                 1.4286,                0.69427,                0.95971,                 0.7002,                0.58602,                0.62261,                0.39631,                 0.6675,                0.54539,                0.57879,                 0.3081,                 1.0572,                 1.4741,                0.79872,                 1.0158,             0.00060303,             0.00060303,             0.00060303
                     87,                 1.0261,                 1.4197,                0.68907,                0.95862,                0.70212,                0.58099,                0.62125,                0.39583,                0.67052,                0.54345,                0.57791,                0.30921,                 1.0585,                 1.4782,                0.79349,                 1.0187,             0.00059943,             0.00059943,             0.00059943
                     88,                 1.0255,                  1.421,                0.68996,                0.95976,                0.71098,                0.59224,                0.62737,                0.39882,                0.67053,                0.55309,                0.58381,                0.31259,                 1.0553,                 1.4719,                0.79581,                 1.0161,             0.00059583,             0.00059583,             0.00059583
                     89,                 1.0195,                 1.4071,                0.68354,                 0.9567,                0.70721,                0.58405,                0.62509,                0.39725,                0.67748,                0.53848,                0.57853,                0.31002,                 1.0556,                 1.4707,                0.80019,                 1.0157,             0.00059223,             0.00059223,             0.00059223
                     90,                 1.0211,                  1.418,                0.68648,                0.95708,                0.71268,                0.58827,                0.62884,                0.39881,                0.66639,                0.54852,                0.58086,                0.31015,                 1.0568,                 1.4695,                0.79241,                 1.0162,             0.00058863,             0.00058863,             0.00058863
                     91,                 1.0127,                 1.3994,                0.68033,                0.95414,                0.71404,                0.59187,                0.62867,                0.39894,                0.67479,                0.54553,                0.58071,                0.30977,                 1.0528,                 1.4696,                0.79563,                  1.015,             0.00058503,             0.00058503,             0.00058503
                     92,                 1.0154,                 1.3997,                0.67944,                0.95413,                0.70045,                0.59347,                0.62807,                0.39913,                0.68354,                0.54285,                0.58276,                 0.3114,                 1.0538,                 1.4712,                0.79313,                 1.0152,             0.00058143,             0.00058143,             0.00058143
                     93,                  1.012,                 1.3946,                0.67894,                0.95302,                0.71481,                0.58744,                0.62879,                0.39864,                 0.6722,                0.55263,                0.58442,                0.31188,                 1.0562,                 1.4718,                0.79725,                 1.0155,             0.00057783,             0.00057783,             0.00057783
                     94,                 1.0148,                  1.402,                0.67668,                0.95261,                0.71403,                0.58311,                0.62644,                0.39878,                0.67821,                0.54499,                0.58095,                0.30868,                 1.0544,                 1.4728,                0.80325,                 1.0173,             0.00057423,             0.00057423,             0.00057423
                     95,                  1.013,                 1.3974,                0.67162,                0.95426,                0.69674,                0.59211,                0.62668,                0.39801,                0.67486,                0.54534,                0.58163,                 0.3115,                 1.0559,                  1.468,                0.80245,                 1.0165,             0.00057063,             0.00057063,             0.00057063
                     96,                 1.0103,                 1.3896,                0.67356,                0.95236,                0.71466,                0.58253,                0.62458,                0.39795,                0.67361,                0.53954,                0.57797,                0.31052,                 1.0555,                 1.4685,                0.79815,                 1.0179,             0.00056703,             0.00056703,             0.00056703
                     97,                 1.0026,                  1.386,                0.66644,                0.95063,                0.69665,                0.59316,                0.62569,                0.39782,                0.66263,                0.54461,                0.57757,                 0.3095,                 1.0533,                 1.4675,                0.80117,                 1.0153,             0.00056343,             0.00056343,             0.00056343
                     98,                 1.0024,                 1.3806,                0.66527,                0.95059,                0.71457,                0.58918,                0.62856,                0.39954,                0.66425,                0.54768,                0.57993,                 0.3105,                 1.0534,                 1.4674,                 0.7884,                 1.0175,             0.00055983,             0.00055983,             0.00055983
                     99,                0.99857,                 1.3766,                 0.6633,                0.94861,                0.71187,                0.59011,                0.62879,                0.39972,                0.67075,                0.54829,                0.58227,                0.31089,                 1.0522,                 1.4634,                0.78579,                  1.015,             0.00055624,             0.00055624,             0.00055624
                    100,                 1.0008,                 1.3782,                0.66218,                0.94765,                0.70138,                0.59236,                0.62754,                0.40037,                0.67159,                 0.5477,                 0.5833,                0.31135,                 1.0498,                 1.4607,                0.79471,                 1.0144,             0.00055264,             0.00055264,             0.00055264
                    101,                0.99985,                 1.3809,                0.66103,                0.94815,                0.70503,                 0.5927,                0.62836,                0.40114,                0.67425,                0.54195,                0.58128,                0.31212,                 1.0472,                 1.4605,                0.78842,                 1.0132,             0.00054904,             0.00054904,             0.00054904
                    102,                0.99696,                 1.3737,                0.65749,                0.94537,                0.69843,                0.59497,                0.62729,                 0.3992,                 0.6585,                0.55149,                0.57882,                0.30862,                 1.0526,                 1.4661,                0.80117,                 1.0133,             0.00054544,             0.00054544,             0.00054544
